Date,Open,High,Low,Close,Adj Close,Volume
2021-03-03,115.200768,117.237091,114.703636,116.978966,106.225868,7744898
2021-03-04,116.634796,117.801147,113.537285,114.827919,104.272545,8439651
2021-03-05,115.334610,118.307838,114.961761,117.428299,106.633881,7268968
2021-03-08,117.581261,121.271507,117.476097,119.321220,108.352798,7572203
2021-03-09,119.885277,120.869980,118.699806,118.718925,107.805862,5867014
2021-03-10,119.550667,122.600380,119.130020,122.246651,111.009315,7581199
2021-03-11,122.456978,122.982796,121.204590,121.548759,110.375572,5383657
2021-03-12,121.596558,122.065010,121.042068,121.998085,110.783592,4194565
2021-03-15,122.151054,123.087952,121.931168,122.925430,111.625694,3577948
2021-03-16,122.638626,122.868073,121.739960,122.600380,111.330521,4867247
2021-03-17,122.810707,123.795410,121.883362,123.355644,112.016365,4488804
2021-03-18,123.269600,125.239006,122.170174,124.340347,112.910538,6104142
2021-03-19,124.302101,124.703636,122.877632,123.231361,111.903503,10297870
2021-03-22,122.848946,124.971321,122.265778,124.808792,113.335922,4356485
2021-03-23,124.703636,125.774376,124.091782,124.722755,113.257805,4556794
2021-03-24,125.191208,126.300194,124.827919,124.875717,113.396706,4189230
2021-03-25,124.598473,127.380501,124.063095,127.217972,115.523651,5809484
2021-03-26,127.428299,130.478012,127.265778,130.382416,118.397224,5823710
2021-03-29,130.000000,131.042068,129.550674,129.885284,117.945778,4835344
2021-03-30,129.885284,130.277252,128.126190,128.795410,116.956085,5010758
2021-03-31,128.623322,128.785858,126.873802,127.399620,115.688606,5172575
2021-04-01,127.877632,128.040146,126.453156,127.370934,115.662552,4261404
2021-04-05,127.762909,130.678772,127.533463,129.952194,118.006531,5722980
2021-04-06,129.617584,129.674957,128.193115,128.317398,116.522018,3787566
2021-04-07,127.954109,129.005737,127.896751,128.996170,117.138382,3112896
2021-04-08,128.652008,129.665390,128.260040,129.177826,117.303352,4275211
2021-04-09,128.938812,129.770554,128.785858,129.761002,117.832932,3162999
2021-04-12,129.082214,129.416824,127.963669,128.671127,116.843231,3926684
2021-04-13,127.151054,127.743790,124.646271,125.411087,113.882874,8403041
2021-04-14,125.535370,126.940727,124.780113,126.797325,115.141670,6137928
2021-04-15,127.418739,127.982796,126.405357,126.749519,115.098251,4062664
2021-04-16,127.151054,128.202682,127.103249,127.715103,115.975090,5535223
2021-04-19,127.724663,127.934990,126.749519,127.265778,115.567062,8575736
2021-04-20,131.042068,133.623322,130.688339,132.084137,119.942505,16192708
2021-04-21,131.988525,137.409180,131.653915,137.237091,124.621780,12456814
2021-04-22,137.380493,138.374756,134.799240,135.066925,122.651100,7428064
2021-04-23,135.095596,137.294449,134.751434,136.166351,123.649445,4765576
2021-04-26,136.156784,137.313583,135.258133,135.344162,122.902847,4927497
2021-04-27,135.458893,136.290634,134.560226,135.764816,123.284859,4062664
2021-04-28,136.634796,137.093689,135.850861,136.711288,124.144325,3941433
2021-04-29,137.791580,142.198853,136.692154,137.896744,125.220772,4554179
2021-04-30,137.380493,137.504776,134.369019,135.640533,123.171974,9280321
2021-05-03,137.485657,139.340347,137.237091,138.384323,125.663551,5997241
2021-05-04,138.059280,140.143402,137.982788,139.340347,126.531700,6642623
2021-05-05,139.521988,139.521988,138.594650,138.833649,126.071564,5229895
2021-05-06,138.871887,141.978973,138.795410,141.892929,128.849625,7848661
2021-05-07,139.502869,139.713196,138.212234,139.063095,127.690865,7325661
2021-05-10,139.388138,141.854691,139.388138,139.741867,128.314178,7304636
2021-05-11,138.613770,138.804977,136.615677,137.877625,126.602356,7454214
2021-05-12,137.514343,137.810699,134.933075,135.086044,124.039040,6233742
2021-05-13,135.229446,138.527725,135.066925,137.829834,126.558495,4807207
2021-05-14,138.728485,139.282990,137.629059,138.317398,127.006157,2873780
2021-05-17,138.087952,139.388138,137.982788,138.728485,127.383644,4471755
2021-05-18,138.412994,138.910141,136.931168,137.581268,126.330246,4000009
2021-05-19,136.061188,136.902481,134.722748,136.892929,125.698181,4498532
2021-05-20,136.826004,138.537292,135.908218,137.552582,126.303894,4301675
2021-05-21,137.934998,139.292542,137.934998,138.374756,127.058830,4219041
2021-05-24,138.680695,138.996170,137.839386,138.355637,127.041275,3449290
2021-05-25,138.546844,138.623322,136.902481,137.466537,126.224876,4118311
2021-05-26,137.189301,137.657745,136.749527,137.074570,125.864998,3225655
2021-05-27,137.495224,138.403442,137.313583,137.495224,126.251228,5889294
2021-05-28,137.868073,137.982788,137.179733,137.418732,126.180984,2651192
2021-06-01,138.623322,139.416824,137.428299,137.848953,126.576027,2528705
2021-06-02,138.260040,139.340347,137.772461,139.311661,127.919151,2915097
2021-06-03,138.537292,139.464630,137.705551,139.149139,127.769897,4320608
2021-06-04,139.579346,141.061188,139.349899,140.936905,129.411453,3261323
2021-06-07,141.061188,142.198853,140.697891,141.510513,129.938156,3621984
2021-06-08,141.606125,143.594650,141.606125,142.514343,130.859879,5313785
2021-06-09,142.476105,144.426392,142.275330,144.043976,132.264450,5547252
2021-06-10,144.808792,146.118546,143.173996,143.919693,132.150330,4977391
2021-06-11,143.814529,145.172089,143.757172,144.627151,132.799927,3596462
2021-06-14,144.082214,144.388138,142.122375,143.432129,131.702637,3498661
2021-06-15,143.260040,143.317398,142.065002,142.791580,131.114471,2628912
2021-06-16,143.173996,143.173996,140.745697,141.328873,129.771378,4057329
2021-06-17,141.061188,141.548752,138.891006,139.196945,127.813774,4568300
2021-06-18,138.126190,138.317398,136.749527,136.826004,125.636742,9577699
2021-06-21,137.772461,140.602295,137.724670,140.200760,128.735519,4482633
2021-06-22,140.076477,140.353729,138.957932,139.923523,128.480957,2549102
2021-06-23,139.990433,140.057358,138.212234,138.250473,126.944710,3349920
2021-06-24,139.388138,139.761002,138.326965,139.043976,127.673332,3775746
2021-06-25,138.986618,140.468445,138.575531,140.382416,128.902298,3759533
2021-06-28,140.544937,140.822174,138.537292,138.900574,127.541656,4067789
2021-06-29,138.871887,140.286804,138.718933,139.149139,127.769897,2540211
2021-06-30,138.747604,140.468445,138.346085,140.143402,128.682846,3394375
2021-07-01,140.497131,141.013382,140.124283,140.382416,128.902298,2809661
2021-07-02,140.449326,140.487579,133.326965,133.862335,122.915436,17584515
2021-07-06,133.833649,134.244736,131.070740,132.676865,121.826904,8466010
2021-07-07,132.657745,134.158707,132.657745,133.671127,122.739861,4246446
2021-07-08,131.720840,135.095596,131.606125,134.550674,123.547470,5739820
2021-07-09,135.229446,135.736145,134.646271,135.296371,124.232185,4083689
2021-07-12,135.210327,135.717010,133.957932,134.722748,123.705475,3496360
2021-07-13,134.722748,134.722748,133.489487,134.110901,123.143654,3309858
2021-07-14,134.531555,134.560226,132.820267,133.671127,122.739861,4606061
2021-07-15,133.193115,134.282990,132.695984,134.273422,123.292892,3807126
2021-07-16,134.799240,134.799240,132.495224,132.791580,121.932228,4298328
2021-07-19,130.449326,132.399612,130.219879,131.854691,121.071960,8977086
2021-07-20,136.711288,138.546844,132.600388,133.814529,122.871544,14237838
2021-07-21,133.814529,135.172089,133.508606,135.086044,124.039040,5024984
2021-07-22,135.430206,135.573608,134.235184,134.521988,123.521133,3466653
2021-07-23,134.761002,135.468445,134.158707,135.124283,124.074181,4680013
2021-07-26,135.172089,136.711288,134.923523,136.491394,125.329483,4441630
2021-07-27,136.261948,137.323135,135.372849,136.472275,125.311935,3281302
2021-07-28,136.720840,136.806885,135.411087,135.535370,124.451653,2660815
2021-07-29,136.070740,136.673035,135.372849,135.688339,124.592102,2793761
2021-07-30,135.296371,135.611862,134.598465,134.761002,123.740608,3698238
2021-08-02,135.229446,136.768646,134.827911,135.200760,124.144394,3064257
2021-08-03,135.659653,138.336517,135.420654,137.734222,126.470665,4272596
2021-08-04,137.476105,137.839386,136.204590,136.481842,125.320717,2960285
2021-08-05,136.739960,137.103256,135.965576,136.491394,125.329483,2884240
